ldref	pop	addpop	prefix	r2	r2_2.5	r2_97.5	r2_pval	r2_se
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin20.S7	0.0136482150142742	0.00976641993423114	0.0181956262551016	5.99535781514497e-32	0.00224494887862787
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin21.S1	0.0244465692971364	0.0190476780042201	0.0306986339012818	5.67812296181348e-56	0.00292888419488086
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin21.S10	0.0130576811989304	0.00925525051532017	0.0175733153900227	1.22077127095406e-30	0.00212965811138629
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin21.S2	0.0245156560617836	0.0192052105357904	0.0312813725079941	3.97965374674921e-56	0.0030844016733255
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin21.S3	0.0243132834553402	0.019030847454929	0.0304122084034395	1.12713865922863e-55	0.00297290424130039
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin21.S4	0.0213347442955232	0.0164053682537812	0.0274800524632949	4.98374314636366e-49	0.00275011528499545
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin21.S5	0.0182781177975712	0.0135080770668173	0.0237314266610503	3.16800472603209e-42	0.00260700489326406
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin21.S6	0.0169126283313418	0.0119683540927434	0.0218714007903974	3.42761791262755e-39	0.00257381976780629
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin21.S7	0.0145866381003538	0.0103989234373493	0.0199258998886027	4.97904220122804e-34	0.00242782737325284
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin22.S1	0.0252328252301028	0.0199622000559118	0.031186529379077	9.92977373573147e-58	0.00282197926022415
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin22.S10	0.0124893661970732	0.00869778384287675	0.0172037491291077	2.21756478381457e-29	0.00223293070167233
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin22.S2	0.0252702999848377	0.0197506252563426	0.0317666879889267	8.18755183634512e-58	0.00306590187980414
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin22.S3	0.023771209038885	0.0182442092087276	0.0294950260444645	1.83091993428767e-54	0.0029419801950663
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin22.S4	0.0219927674331024	0.016917935302933	0.0278633184336799	1.7014587123164e-50	0.00282163960400127
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin22.S5	0.0176886740449168	0.0133221802422086	0.0228869623434349	6.47035403088738e-41	0.00252131023230903
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin22.S6	0.0160862843114785	0.011383806675403	0.0208951420237183	2.34314606416753e-37	0.00247492545457563
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin22.S7	0.0146218970931288	0.0103762881026178	0.0196008321044635	4.15861628758636e-34	0.00234398376350112
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin23.S1	0.0248018712656781	0.0190617768811087	0.0306853444823614	9.1255873007961e-57	0.00296747908947765
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin23.S10	0.0124099429855713	0.00857973587971146	0.0170586506369281	3.32532486362821e-29	0.00217677947665656
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin23.S2	0.0252038841601524	0.0195322036604626	0.031286180912444	1.15250635524406e-57	0.00299598717106905
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin23.S3	0.0233204536321097	0.0180627803955015	0.0290927304214628	1.85771686476235e-53	0.00289048019102564
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin23.S4	0.0204464315286697	0.0156272745748136	0.0256721883477375	4.746465814073e-47	0.00260780790998375
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin23.S5	0.0172946317740995	0.0128758036483065	0.0231285489792466	4.85790877173723e-40	0.00270515400810816
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin23.S6	0.0156091561220911	0.0115250209421321	0.0208334811567853	2.68386916310124e-36	0.00237961291133015
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin23.S7	0.013872383600665	0.00971523833574209	0.0185349070736805	1.90933953840036e-32	0.00226886825418334
